# range_bin,doppler_bin,angle_deg,snr,zone_flag
127.0,8,0.0,101.3,1
163.0,8,0.6,101.2,0
71.0,8,-0.0,101.3,0
55.0,8,-0.0,101.3,0
170.0,8,-0.4,101.3,0
64.0,8,0.2,101.2,0
186.0,8,0.4,101.3,0
176.0,8,0.5,101.2,0
77.0,8,0.8,101.2,0
79.0,8,0.8,101.2,0
57.0,8,0.5,101.3,0
58.0,8,0.6,101.3,0
86.0,8,0.4,101.3,0
168.0,8,-0.5,101.3,0
56.0,8,0.3,101.3,0
150.0,8,0.7,101.3,0
151.0,8,0.6,101.4,0
193.0,8,0.0,102.5,0
142.0,8,16.1,101.4,1
141.0,8,2.1,101.5,1
140.0,8,0.1,101.4,1
139.0,8,-0.3,101.7,1
138.0,8,-0.3,102.5,1
137.0,8,-0.3,102.2,1
136.0,8,-0.3,101.5,1
135.0,8,-0.4,101.5,1
192.0,8,-0.0,102.1,0
63.0,8,-1.2,101.4,0
69.0,8,2.2,101.3,0
70.0,8,1.7,101.5,0
62.0,8,-1.5,101.5,0
161.0,8,1.2,102.1,0
126.0,8,-1.7,101.7,1
125.0,8,-2.7,101.6,1
162.0,8,3.2,102.1,0
166.0,8,42.9,101.5,0
167.0,8,11.4,101.4,0
61.0,8,-2.3,101.4,0
73.0,8,2.0,101.5,0
74.0,8,2.4,102.0,0
179.0,8,4.9,101.6,0
75.0,8,3.7,101.5,0
76.0,8,6.0,101.4,0
180.0,8,7.2,101.8,0
59.0,8,-0.3,101.4,0
185.0,8,27.0,101.8,0
191.0,8,-1.0,101.1,0
66.0,8,0.1,101.1,0
44.0,8,0.4,101.1,0
142.0,8,0.2,101.1,1
124.0,8,-0.2,101.1,1
64.0,8,0.1,101.1,0
50.0,8,0.2,101.1,0
175.0,8,0.1,101.1,0
72.0,8,-0.0,101.1,0
146.0,8,-0.1,101.1,1
60.0,8,0.1,101.1,0
49.0,8,0.2,101.1,0
174.0,8,0.2,101.1,0
134.0,8,-0.3,101.1,1
