# range_bin,doppler_bin,angle_deg,snr,zone_flag
156.0,8,4.3,102.2,0
49.0,8,-3.6,101.6,0
157.0,8,12.0,101.6,0
47.0,8,-1.7,101.7,0
46.0,8,-1.4,101.7,0
159.0,8,13.4,101.6,0
162.0,8,8.0,102.0,0
185.0,8,9.7,101.9,0
163.0,8,8.1,102.1,0
186.0,8,11.1,102.3,0
187.0,8,11.3,101.6,0
193.0,8,18.1,102.3,0
192.0,8,15.8,102.5,0
164.0,8,10.9,101.9,0
168.0,8,-0.5,102.2,0
191.0,8,15.2,102.1,0
169.0,8,0.0,102.2,0
170.0,8,2.6,102.0,0
190.0,8,15.6,102.1,0
188.0,8,16.1,102.0,0
167.0,8,0.1,101.4,0
72.0,8,0.1,101.4,0
155.0,8,0.1,101.5,0
45.0,8,0.1,101.4,0
127.0,8,-0.1,101.4,1
171.0,8,0.1,101.4,0
133.0,8,-0.3,101.5,1
132.0,8,-0.2,101.5,1
149.0,8,0.1,101.5,1
50.0,8,0.0,101.5,0
151.0,8,0.2,101.6,0
175.0,8,-0.1,101.6,0
137.0,8,0.1,101.5,1
150.0,8,0.2,101.6,0
48.0,8,0.1,101.6,0
160.0,8,0.4,101.5,0
120.0,8,0.2,101.5,1
152.0,8,0.2,101.5,0
157.0,8,-0.3,101.6,0
187.0,8,0.1,101.6,0
154.0,8,-0.1,101.6,0
165.0,8,-0.5,101.6,0
125.0,8,0.1,101.6,1
46.0,8,-0.1,101.6,0
60.0,8,0.1,101.6,0
136.0,8,0.4,101.7,1
129.0,8,0.6,101.7,1
116.0,8,-1.0,101.7,1
148.0,8,1.0,101.7,1
177.0,8,0.9,101.7,0
47.0,8,-0.4,101.7,0
180.0,8,1.9,102.0,0
181.0,8,2.1,102.3,0
176.0,8,0.7,102.1,0
182.0,8,2.5,101.7,0
183.0,8,2.7,101.9,0
184.0,8,2.8,102.0,0
170.0,8,1.6,102.0,0
169.0,8,1.7,102.3,0
168.0,8,1.4,102.2,0
185.0,8,3.8,101.9,0
186.0,8,3.2,102.2,0
164.0,8,0.6,101.9,0
163.0,8,2.0,102.0,0
162.0,8,3.4,101.9,0
188.0,8,0.3,102.1,0
189.0,8,-1.5,102.7,0
159.0,8,7.5,101.7,0
143.0,8,13.0,102.3,1
190.0,8,-0.0,102.2,0
156.0,8,-35.8,102.1,0
191.0,8,5.4,102.1,0
192.0,8,12.5,102.3,0
153.0,8,-54.0,101.7,0
193.0,8,19.0,101.9,0
139.0,8,3.9,102.4,1
138.0,8,4.4,102.1,1
128.0,8,17.8,101.7,1
49.0,8,-5.9,101.7,0
147.0,8,28.4,102.0,1
146.0,8,29.3,102.2,1
145.0,8,30.4,102.0,1
144.0,8,30.1,101.9,1
142.0,8,19.8,102.1,1
140.0,8,-0.3,101.4,1
72.0,8,0.1,101.4,0
120.0,8,-0.0,101.4,1
45.0,8,0.1,101.4,0
155.0,8,0.2,101.4,0
126.0,8,-0.1,101.5,1
127.0,8,-0.1,101.4,1
133.0,8,-0.3,101.5,1
48.0,8,0.2,101.4,0
167.0,8,0.1,101.4,0
50.0,8,-0.0,101.5,0
137.0,8,0.1,101.5,1
157.0,8,-0.0,101.5,0
175.0,8,-0.0,101.5,0
60.0,8,0.1,101.5,0
132.0,8,-0.2,101.5,1
177.0,8,0.3,101.6,0
182.0,8,-0.0,101.6,0
180.0,8,-0.0,102.0,0
183.0,8,0.1,101.8,0
184.0,8,0.4,101.9,0
176.0,8,0.3,102.0,0
185.0,8,0.7,101.8,0
186.0,8,0.8,102.0,0
188.0,8,-0.7,101.9,0
170.0,8,0.7,102.0,0
169.0,8,0.9,102.3,0
168.0,8,0.7,102.1,0
189.0,8,-2.2,102.5,0
165.0,8,-0.8,101.6,0
164.0,8,-0.4,101.9,0
163.0,8,0.4,102.0,0
162.0,8,0.9,101.8,0
190.0,8,-3.6,102.0,0
160.0,8,1.3,101.6,0
159.0,8,0.9,101.8,0
191.0,8,-2.5,101.9,0
192.0,8,0.7,102.3,0
156.0,8,-1.5,102.1,0
193.0,8,5.6,101.9,0
154.0,8,-0.7,101.6,0
153.0,8,0.5,101.8,0
152.0,8,1.9,101.6,0
151.0,8,3.2,101.7,0
150.0,8,4.1,101.8,0
149.0,8,4.8,101.7,1
148.0,8,5.4,101.7,1
147.0,8,6.3,102.0,1
146.0,8,8.2,102.1,1
145.0,8,11.5,101.9,1
144.0,8,13.8,101.8,1
143.0,8,10.2,102.3,1
142.0,8,5.5,102.0,1
129.0,8,10.4,101.7,1
128.0,8,11.4,101.7,1
139.0,8,2.3,102.4,1
138.0,8,2.9,102.1,1
125.0,8,38.1,101.6,1
136.0,8,9.2,101.6,1
116.0,8,-1.8,101.6,1
46.0,8,-2.8,101.6,0
47.0,8,-3.6,101.6,0
49.0,8,-6.0,101.6,0
181.0,8,17.4,102.3,0
155.0,8,0.1,101.4,0
72.0,8,0.1,101.4,0
161.0,8,0.2,101.4,0
141.0,8,-0.1,101.4,1
187.0,8,0.1,101.4,0
46.0,8,0.3,101.6,0
157.0,8,0.0,101.6,0
48.0,8,0.3,101.5,0
137.0,8,0.1,101.5,1
49.0,8,0.1,101.6,0
160.0,8,0.1,101.5,0
60.0,8,0.2,101.6,0
50.0,8,0.0,101.5,0
133.0,8,-0.3,101.6,1
165.0,8,-0.2,101.5,0
132.0,8,-0.1,101.6,1
154.0,8,0.0,101.6,0
152.0,8,0.3,101.5,0
151.0,8,0.4,101.6,0
127.0,8,0.0,101.5,1
126.0,8,-0.0,101.5,1
125.0,8,0.0,101.6,1
177.0,8,0.1,101.6,0
120.0,8,0.3,101.4,1
182.0,8,0.3,101.6,0
116.0,8,-0.9,101.6,1
186.0,8,1.0,102.0,0
185.0,8,1.3,101.8,0
184.0,8,1.2,101.9,0
183.0,8,0.9,101.8,0
188.0,8,-0.9,101.9,0
181.0,8,0.2,102.2,0
180.0,8,-0.1,101.9,0
189.0,8,-2.7,102.3,0
190.0,8,-3.3,101.7,0
176.0,8,-0.1,102.0,0
175.0,8,-0.7,101.7,0
191.0,8,-1.8,101.7,0
192.0,8,2.1,102.1,0
193.0,8,6.9,101.9,0
146.0,8,2.6,102.2,1
170.0,8,-0.6,101.9,0
169.0,8,-0.3,102.1,0
168.0,8,-0.8,102.0,0
145.0,8,5.6,101.9,1
144.0,8,6.7,101.8,1
143.0,8,5.8,102.3,1
164.0,8,1.5,101.9,0
163.0,8,2.6,102.1,0
162.0,8,3.2,102.0,0
142.0,8,5.1,102.1,1
139.0,8,1.5,102.4,1
159.0,8,-1.3,101.8,0
138.0,8,2.1,102.1,1
47.0,8,-1.0,101.7,0
156.0,8,-51.0,102.0,0
136.0,8,7.4,101.7,1
148.0,8,18.7,101.7,1
153.0,8,-86.9,101.8,0
129.0,8,18.7,101.8,1
128.0,8,19.2,101.8,1
150.0,8,25.1,101.8,0
149.0,8,24.0,101.9,1
147.0,8,24.9,102.0,1
45.0,8,0.2,101.4,0
48.0,8,0.3,101.4,0
72.0,8,0.1,101.4,0
167.0,8,0.1,101.4,0
157.0,8,0.2,101.4,0
126.0,8,-0.2,101.5,1
127.0,8,-0.1,101.5,1
128.0,8,-0.0,101.7,1
129.0,8,0.1,101.7,1
125.0,8,-0.2,101.6,1
132.0,8,-0.2,101.5,1
133.0,8,-0.3,101.5,1
46.0,8,0.2,101.6,0
47.0,8,0.2,101.7,0
136.0,8,0.1,101.7,1
137.0,8,0.1,101.5,1
147.0,8,-0.1,101.9,1
148.0,8,0.1,101.7,1
49.0,8,0.0,101.6,0
50.0,8,-0.1,101.6,0
193.0,8,0.1,101.9,0
149.0,8,0.2,101.9,1
191.0,8,-2.0,101.8,0
190.0,8,-2.3,101.9,0
150.0,8,0.4,101.8,0
188.0,8,-0.8,102.0,0
187.0,8,0.4,101.5,0
186.0,8,1.4,101.9,0
185.0,8,1.9,101.8,0
151.0,8,0.4,101.7,0
183.0,8,1.6,101.9,0
182.0,8,1.2,101.6,0
152.0,8,0.2,101.6,0
180.0,8,0.2,101.8,0
177.0,8,0.1,101.7,0
153.0,8,-0.3,101.8,0
175.0,8,0.0,101.6,0
120.0,8,2.5,101.5,1
170.0,8,1.8,101.8,0
154.0,8,-1.3,101.7,0
168.0,8,1.3,101.9,0
116.0,8,-2.0,101.6,1
165.0,8,0.5,101.5,0
164.0,8,1.2,101.8,0
155.0,8,-4.2,101.5,0
162.0,8,2.1,101.9,0
60.0,8,1.6,101.6,0
160.0,8,1.5,101.5,0
159.0,8,-0.7,101.6,0
144.0,8,10.6,101.8,1
156.0,8,-18.6,101.9,0
142.0,8,5.6,102.0,1
163.0,8,4.2,102.0,0
169.0,8,9.0,102.1,0
176.0,8,6.8,102.1,0
181.0,8,15.4,102.2,0
184.0,8,14.6,102.0,0
189.0,8,11.4,102.4,0
192.0,8,25.1,102.1,0
139.0,8,3.6,102.4,1
138.0,8,4.1,102.1,1
146.0,8,33.4,102.2,1
145.0,8,34.9,102.0,1
143.0,8,23.2,102.3,1
48.0,8,0.3,101.4,0
45.0,8,0.2,101.4,0
157.0,8,0.2,101.4,0
167.0,8,0.1,101.4,0
161.0,8,0.2,101.5,0
120.0,8,0.0,101.4,1
50.0,8,0.0,101.5,0
175.0,8,-0.0,101.7,0
170.0,8,0.3,101.8,0
169.0,8,0.4,102.2,0
168.0,8,0.3,102.0,0
176.0,8,0.0,102.1,0
49.0,8,0.1,101.6,0
165.0,8,-0.2,101.6,0
164.0,8,-0.2,101.7,0
163.0,8,-0.0,101.9,0
162.0,8,0.2,101.8,0
177.0,8,-0.0,101.7,0
160.0,8,0.5,101.6,0
159.0,8,0.5,101.6,0
180.0,8,-0.1,101.7,0
181.0,8,0.0,102.2,0
156.0,8,0.4,101.8,0
155.0,8,0.3,101.5,0
154.0,8,0.1,101.8,0
153.0,8,0.1,101.9,0
152.0,8,0.2,101.6,0
151.0,8,0.4,101.6,0
150.0,8,0.6,101.8,0
149.0,8,0.6,101.9,1
148.0,8,0.4,101.7,1
147.0,8,0.1,101.9,1
146.0,8,-0.2,102.2,1
145.0,8,-0.4,102.0,1
144.0,8,-0.5,101.8,1
143.0,8,-0.6,102.2,1
142.0,8,-0.6,102.0,1
182.0,8,2.2,101.5,0
183.0,8,3.2,101.8,0
139.0,8,-0.1,102.4,1
138.0,8,0.3,102.1,1
137.0,8,0.9,101.5,1
136.0,8,2.1,101.7,1
184.0,8,5.8,101.9,0
186.0,8,6.7,102.0,0
133.0,8,47.8,101.5,1
132.0,8,24.0,101.6,1
187.0,8,7.4,101.5,0
188.0,8,5.2,102.0,0
129.0,8,6.3,101.7,1
128.0,8,7.0,101.7,1
127.0,8,9.6,101.6,1
126.0,8,16.2,101.6,1
125.0,8,26.9,101.6,1
189.0,8,8.3,102.3,0
190.0,8,7.4,101.8,0
191.0,8,10.7,101.9,0
192.0,8,16.5,102.2,0
193.0,8,21.3,101.9,0
60.0,8,5.8,101.5,0
116.0,8,-3.4,101.6,1
46.0,8,-2.9,101.6,0
47.0,8,-3.7,101.6,0
185.0,8,18.7,101.9,0
133.0,8,-0.2,101.4,1
157.0,8,0.2,101.4,0
45.0,8,0.2,101.4,0
167.0,8,0.1,101.4,0
57.0,8,0.1,101.4,0
161.0,8,0.2,101.5,0
182.0,8,0.0,101.6,0
132.0,8,-0.2,101.5,1
137.0,8,0.1,101.6,1
165.0,8,-0.1,101.6,0
175.0,8,-0.1,101.5,0
50.0,8,-0.0,101.5,0
48.0,8,0.2,101.5,0
159.0,8,0.2,101.5,0
120.0,8,0.2,101.4,1
187.0,8,-0.0,101.5,0
60.0,8,0.1,101.6,0
126.0,8,-0.2,101.6,1
185.0,8,0.4,101.6,0
127.0,8,-0.1,101.6,1
46.0,8,0.1,101.6,0
129.0,8,0.1,101.6,1
154.0,8,0.5,101.6,0
136.0,8,0.3,101.7,1
116.0,8,-1.0,101.6,1
162.0,8,0.0,101.7,0
164.0,8,-0.5,101.7,0
125.0,8,-0.0,101.6,1
